trials,acc,nmi,ari,time
FcDEC-DA_mnist,,,,
trials,acc,nmi,ari,time
FcDEC-DA_mnist,,,,
0,0.33489,0.18004,0.12445,35.0
 ,0.33489,0.18004,0.12445,35.0
FcDEC-DA_mnist-test,,,,
0,0.3147,0.21206,0.12105,6.0
 ,0.3147,0.21206,0.12105,6.0
FcDEC-DA_usps,,,,
0,0.37643,0.29388,0.22606,6.0
 ,0.37643,0.29388,0.22606,6.0
FcDEC-DA_fmnist,,,,
0,0.46729,0.36772,0.24934,41.0
 ,0.46729,0.36772,0.24934,41.0
ConvDEC-DA_mnist,,,,
0,0.36149,0.24373,0.15257,40.0
 ,0.36149,0.24373,0.15257,40.0
ConvDEC-DA_mnist-test,,,,
0,0.2882,0.25503,0.14873,20.0
 ,0.2882,0.25503,0.14873,20.0
ConvDEC-DA_usps,,,,
0,0.3704,0.28251,0.19549,14.0
 ,0.3704,0.28251,0.19549,14.0
ConvDEC-DA_fmnist,,,,
0,0.46037,0.44748,0.30133,40.0
 ,0.46037,0.44748,0.30133,40.0
FcIDEC-DA_mnist,,,,
0,0.30807,0.24448,0.16732,45.0
 ,0.30807,0.24448,0.16732,45.0
FcIDEC-DA_mnist-test,,,,
0,0.1135,3.5,0.0,13.0
 ,0.1135,3.5,0.0,13.0
FcIDEC-DA_usps,,,,
0,0.34448,0.30768,0.13871,19.0
 ,0.34448,0.30768,0.13871,19.0
FcIDEC-DA_fmnist,,,,
0,0.24136,0.31481,0.15621,42.0
 ,0.24136,0.31481,0.15621,42.0
ConvIDEC-DA_mnist,,,,
0,0.36271,0.31222,0.18491,60.0
 ,0.36271,0.31222,0.18491,60.0
ConvIDEC-DA_mnist-test,,,,
0,0.3181,0.22257,0.11965,31.0
 ,0.3181,0.22257,0.11965,31.0
ConvIDEC-DA_usps,,,,
trials,acc,nmi,ari,time
FcDEC-DA_mnist,,,,
